GR;Count;Cons;Size;Col;Dis;Time;WtCns;En;Cap;Fast;PRG;NOI;Thrd;SLI;AUD;Con;SAL22;SAL23
EL;Poland;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;14;NO;8;44;YES;YES;NO;NO;0.001250649;0.001459391
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;B;13;YES;5;42;YES;NO;NO;VOICE CONTROL;0,00;0.001458912
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;10;E;12;NO;4;50;NO;NO;NO;VOICE CONTROL;0.001199968;0.00145492
WH;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;9;E;14;NO;7;46;NO;NO;NO;NO;0,00;0.001454879
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000904524;0.001450359
BH;Great Britain;FREESTANDING;FULLSIZE;WHITE;YES;YES;9;D;13;YES;5;44;NO;n.a.;NO;SMART APP CTRL.;0,00;0.001426137
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.001765753;0.00142336
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;8;42;YES;NO;NO;VOICE CONTROL;0.001146136;0.00141871
WH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;F;14;NO;5;49;NO;NO;NO;NO;0.001836917;0.001385443
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;B;13;YES;5;42;YES;NO;NO;VOICE CONTROL;0,00;0.001384579
AR;Great Britain;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;12;E;14;NO;5;49;NO;NO;NO;NO;0.002057464;0.001374136
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000172857;0.001370877
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;E;12;YES;6;46;NO;NO;NO;VOICE CONTROL;0.000255815;0.001368205
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;14;YES;6;44;YES;NO;NO;VOICE CONTROL;0.001176626;0.001355907
BH;Germany;BUILT IN/UNDER;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;13;YES;5;46;YES;NO;NO;VOICE CONTROL;3,97E-01;0.00133419
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;NO;NO;10;E;12;YES;5;48;NO;NO;NO;VOICE CONTROL;0.001208376;0.001331689
AR;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;NO;11;D;14;NO;5;48;NO;NO;NO;NO;0.002078576;0.001331141
WH;Great Britain;FREESTANDING;FULLSIZE;WHITE;NO;NO;12;F;13;NO;6;49;NO;n.a.;NO;NO;0.003350155;0.00131692
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;D;13;YES;6;44;NO;NO;NO;VOICE CONTROL;0.000721901;0.001315186
BH;Great Britain;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;D;10;YES;6;45;YES;NO;NO;SMART APP CTRL.;0.000788604;0.001314474
BH;Germany;BUILT IN/UNDER;FULLSIZE;NO F.DECORATION;YES;YES;9;C;14;YES;8;42;YES;NO;NO;VOICE CONTROL;0.001085045;0.001312101
BH;Poland;BUILT IN/UNDER;SLIMLINE;NO F.DECORATION;YES;YES;9;F;10;YES;6;46;YES;NO;NO;VOICE CONTROL;0.000674037;0.001298072
WH;Germany;FREESTANDING;FULLSIZE;STAINLESS STEEL;YES;YES;9;C;14;NO;6;41;YES;n.a.;NO;NO;0.00042844;0.001292879
