Groups,Country,Construction,Size,Width,Height,Integration,Front Decoration,Display,Remaining Time,Water Cons.,Energy Efficiency Class,Capacity,Inverter Motor,Speed Function,Nr.of prog,Noise,Cutlery Drawer,Steam,Sliding Hinges,Auto Dosage,Smart Connect,Sales
WH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,NO,NO,NO,0,007
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0023
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,SMART APP CTRL.,0,006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0022
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0022
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0022
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0022
AR,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0021
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0021
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0021
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0021
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0021
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0021
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,11-15,D,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0021
WH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,11-15,F,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,002
BH,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,YES,NO,NO,NO,SMART APP CTRL.,0,006
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,002
BH,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,F,9-11,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0112
WH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,NO,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,002
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,NO,NO,11-15,D,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,006
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,002
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,002
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0019
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,12-14,YES,NO,5-10,>50,NO,NO,NO,NO,NO,0,0019
EL,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,12-14,NO,NO,<5,45-50,NO,NO,YES,NO,NO,0,0107
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0019
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0019
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0019
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0019
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0019
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,>50,NO,NO,NO,NO,VOICE CONTROL,0,0019
EL,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,F,9-11,YES,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0104
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,YES,NO,NO,NO,0,0019
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0019
BH,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0104
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,>10,40-45,YES,NO,NO,NO,NO,0,0019
EL,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,NO,YES,5-10,45-50,YES,NO,YES,NO,NO,0,005
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,n.a.,NO,NO,0,0019
AR,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0102
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,NO,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0018
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0018
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0018
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0018
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,A,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0018
WH,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,NO F.DECORATION,NO,NO,11-15,F,9-11,NO,NO,5-10,>50,NO,NO,NO,NO,NO,0,005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0018
AR,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,9-11,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,01
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,12-14,NO,NO,<5,45-50,NO,NO,YES,NO,NO,0,0018
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0018
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0097
TR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0018
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0018
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0017
WH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0017
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,SILVER,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0017
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,9-11,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0017
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,YES,NO,VOICE CONTROL,0,0017
WH,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,F,9-11,NO,NO,5-10,>50,NO,NO,NO,NO,NO,0,005
EL,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,9-11,NO,NO,5-10,45-50,YES,NO,YES,NO,NO,0,0093
EL,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,45-50,n.a.,NO,NO,NO,NO,0,0093
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,METAL LOOK,NO,NO,11-15,D,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0017
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0017
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0017
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0017
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0017
WH,Great Britain,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,NO,NO,11-15,F,9-11,NO,NO,5-10,>50,NO,NO,NOT APPLICABLE,NO,NO,0,005
WH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,NO,5-10,45-50,NO,NO,NO,NO,NO,0,005
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,NO,YES,5-10,45-50,YES,NO,NO,NO,NO,0,0091
BH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,C,12-14,YES,YES,5-10,45-50,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0016
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0016
BH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,009
AR,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,005
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0016
TR,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,PARTLY,STAINLESS STEEL,NO,NO,8-10,E,9-11,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0016
WH,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,0016
EL,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,C,>15,YES,NO,5-10,40-45,YES,NO,YES,NO,NO,0,0089
BH,Great Britain,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,E,9-11,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,005
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0088
WH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0016
WH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,F,12-14,YES,NO,5-10,45-50,NO,NO,NO,NO,NO,0,005
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0016
AR,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,BLACK,YES,NO,11-15,E,12-14,NO,NO,<5,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,005
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0016
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,YES,NO,VOICE CONTROL,0,0016
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,005
WH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,40-45,YES,NO,NO,NO,NO,0,005
AR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0016
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,NO,<5,45-50,NO,NO,NO,NO,NO,0,0015
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0015
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0015
WH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,NO,NO,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0085
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0015
WH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NOT APPLICABLE,NO,NO,0,0085
TR,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,METAL LOOK,NO,NO,8-10,E,9-11,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0015
AR,Germany,FREESTANDING,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0015
BH,Great Britain,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,YES,NO,NO,NO,VOICE CONTROL,0,004
WH,Poland,FREESTANDING,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,NO,0,0083
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,E,12-14,YES,YES,5-10,45-50,NO,NO,NO,NO,VOICE CONTROL,0,0015
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,NO,NO,NO,NO,NO,0,0015
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,NO,5-10,40-45,YES,NO,YES,NO,NO,0,0015
BH,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0015
WH,Poland,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0082
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,YES,NO,NO,NO,NO,0,0015
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0015
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0015
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,SILVER,YES,YES,8-10,D,12-14,NO,NO,5-10,40-45,NO,NO,NO,NO,NO,0,0015
AR,Poland,FREESTANDING,SLIMLINE,45-50,80-85,NO,SILVER,YES,YES,11-15,E,9-11,NO,NO,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,0081
TR,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,NO,STAINLESS STEEL,YES,YES,8-10,D,9-11,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0015
WH,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,NO,8-10,F,9-11,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,008
TR,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,SILVER,NO,NO,11-15,E,12-14,NO,NO,5-10,45-50,NO,NO,NOT APPLICABLE,NO,NO,0,0015
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,NO,<5,45-50,NO,NO,NO,NO,NO,0,0015
EL,Germany,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,F,9-11,YES,NO,5-10,45-50,NO,NO,YES,NO,NO,0,0015
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,NO,NO,VOICE CONTROL,0,0015
WH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,BLACK,YES,YES,8-10,E,12-14,YES,NO,5-10,45-50,YES,NO,NOT APPLICABLE,NO,NO,0,004
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,NO,STAINLESS STEEL,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0014
EL,Great Britain,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,E,9-11,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,004
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0014
BH,Germany,FREESTANDING,SLIMLINE,45-50,80-85,NO,WHITE,YES,YES,8-10,D,9-11,YES,YES,5-10,40-45,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,0014
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,85-90,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,YES,5-10,40-45,NO,NO,YES,NO,VOICE CONTROL,0,0014
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,NO,NO,8-10,E,12-14,YES,NO,<5,45-50,YES,NO,NO,NO,VOICE CONTROL,0,0014
EL,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,D,12-14,YES,NO,5-10,40-45,NO,NO,YES,NO,NO,0,0014
BH,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,B,12-14,YES,YES,5-10,40-45,YES,NO,NO,NO,VOICE CONTROL,0,0014
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,METAL LOOK,YES,YES,8-10,D,12-14,YES,YES,5-10,45-50,NO,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,004
AR,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,11-15,E,9-11,NO,NO,5-10,45-50,NO,NO,NO,NO,NO,0,0078
BH,Great Britain,FREESTANDING,FULLSIZE,55-60,80-85,NO,WHITE,YES,YES,8-10,C,12-14,YES,YES,5-10,40-45,YES,NO,NOT APPLICABLE,NO,VOICE CONTROL,0,004
MI,Germany,BUILT IN/UNDER,FULLSIZE,55-60,80-85,PARTLY,STAINLESS STEEL,YES,YES,8-10,C,12-14,NO,YES,5-10,40-45,YES,NO,NO,NO,NO,0,0014
AR,Poland,BUILT IN/UNDER,SLIMLINE,45-50,80-85,FULLY,NO F.DECORATION,YES,YES,8-10,C,9-11,YES,YES,5-10,40-45,YES,NO,NO,YES,NO,0,0077
